Column1;Column2;Column3;Column4;Column5
48.976.675/0001-05;POSTO VARANDA II LTDA;AVENIDA DEPUTADO PLINIO RIBEIRO,3150,NOSSA SENHORA DE FATIMA,MONTES CLAROS,MG,BRAZIL;-16.73775419999999;-43.8464875
04.588.291/0001-31;PETROLEO MONTES CLAROS LTDA.;RUA SILVIO TEIXEIRA,46,SAO JOSE,MONTES CLAROS,MG,BRAZIL;-16.72295389999999;-43.8611111
05.520.520/0001-49;POSTO DIAMANTE MASTER LTDA;AVENIDA MAESTRO SANSAO,29,CENTRO,MURIAE,MG,BRAZIL;-21.1288245;-42.37051629999999
26.393.806/0001-80;AUTO POSTO TIGRAO MURIAE LTDA;AVENIDA JOSE MAXIMO RIBEIRO,1414,AUGUSTO DE ABREU,MURIAE,MG,BRAZIL;-21.1307845;-42.36814720000001
17.740.374/0004-99;AUTO POSTO CENTRAL DE MURIAE LTDA;AVENIDA CONSTANTINO PINTO,220,,MURIAE,MG,BRAZIL;-21.1298717;-42.3699025
23.123.370/0001-11;AUTO POSTO 2000 MURIAE LTDA;AVENIDA ALFREDO BICALHO CANEDO,33,CHACARA LOURDES,MURIAE,MG,BRAZIL;-21.13201570000001;-42.36527999999999
02.963.955/0001-70;POSTO RIO BAHIA DE MURIAE LTDA;AVENIDA RIO BAHIA,8600,SOFOCO,MURIAE,MG,BRAZIL;-21.12728029999999;-42.38352029999999
17.740.374/0001-46;AUTO POSTO CENTRAL DE MURIAE LTDA;PRACA CEL PACHECO DE MEDEIROS,1,CENTRO,MURIAE,MG,BRAZIL;-21.13081769999999;-42.3657144
05.585.305/0001-26;POSTO AMIGAO DE MURIAE LTDA;AVENIDA RIO BAHIA,5450,BARRA,MURIAE,MG,BRAZIL;-21.12540949999999;-42.38196010000001
39.772.651/0001-35;AUTO POSTO VEREDAS CASTELO LTDA;RUA DOUTOR OTAVIO AMARAL BARROSO,7,SAO FRANCISCO,MURIAE,MG,BRAZIL;-21.13833539999998;-42.3630354
13.117.591/0002-04;ABC DISTRIBUICAO DE PETROLEO LTDA;AVENIDA MARACANA,770,SANTA MARIA,OLIVEIRA,MG,BRAZIL;-20.6922535;-44.82630419999999
02.024.746/0003-22;POSTO SUPER TIGRE LTDA;ALAMEDA DOUTOR CICERO DE CASTRO FILHO,S/N,SANTA MARIA,OLIVEIRA,MG,BRAZIL;-20.68253870000001;-44.8230044
44.577.413/0001-09;EFIGENIA DE OLIVEIRA SALGADO LTDA;AVENIDA CORONEL BENJAMIN GUIMARAES,400,CENTRO,OLIVEIRA,MG,BRAZIL;-20.69385539999999;-44.83393889999999
05.333.717/0001-79;RODOPOSTO OLIVEIRA LTDA;RODOVIA BR 381,S/N,PERIMETRO DE EXPANSAO URBANA,OLIVEIRA,MG,BRAZIL;-21.65916649999999;-45.3027884
41.829.554/0001-83;POSTO XAVANTE OLIVEIRA LTDA;AVENIDA MARACANA,545,CENTRO,OLIVEIRA,MG,BRAZIL;-20.69425880000001;-44.82560000000002
04.625.030/0001-44;AUTO POSTO S.F.CENTRO LTDA;RUA PADRE ROLIM,284,CENTRO,OURO PRETO,MG,BRAZIL;-20.3821015;-43.5044039
01.819.646/0001-68;AUTO POSTO OURO PRETO LTDA;RUA PADRE ROLIM,3000,SAO CRISTOVAO,OURO PRETO,MG,BRAZIL;-20.37898250000001;-43.51887099999999
71.020.481/0001-45;AUTO POSTO SARAMENHA LTDA;RUA GERALDO LAERCIO,497,SARAMENHA,OURO PRETO,MG,BRAZIL;-20.40515659999999;-43.52070589999999
45.845.018/0001-22;POSTO OURO PRETO LTDA;RODOVIA RODRIGO MELO FRANCO DE ANDRADE,979 A,NOSSA SENHORA DO CARMO,OURO PRETO,MG,BRAZIL;0.0;0.0
44.172.977/0001-61;GILMAR NIQUINI & FILHOS EMPREENDIMENTOS LTDA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,567,BAUXITA,OURO PRETO,MG,BRAZIL;-20.3989308;-43.50331380000001
04.237.818/0001-83;AUTO POSTO ALTERNATIVO LTDA;RUA MACIEL,626,ALTO DA CRUZ,OURO PRETO,MG,BRAZIL;-20.3861246;-43.4930109
23.158.736/0001-98;POSTO PRESIDENTE LTDA;AVENIDA OLEGARIO MACIEL,391,CENTRO,PARACATU,MG,BRAZIL;-17.2177231;-46.8723913
23.153.943/0008-26;COOPERATIVA AGRO PECUARIA DO VALE DO PARACATU LTDA;RUA SILVINO REIS,160,CENTRO,PARACATU,MG,BRAZIL;-17.2158851;-46.87161319999998
07.355.400/0001-69;AUTO POSTO PORTAL DE MINAS LTDA;RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK,25,AMOREIRAS I,PARACATU,MG,BRAZIL;-17.2087654;-46.87655459999998
07.830.113/0001-63;POSTO PARACATU LTDA;RODOVIA BR 040 KM 40,6,20,AMOREIRAS II,PARACATU,MG,BRAZIL;-17.2106517;-46.874006
45.193.865/0001-50;POSTO JK PARACATU LTDA;RUA WOLNEY MEIRELES,490,NOSSA SENHORA DE FATIMA,PARACATU,MG,BRAZIL;-17.22491579999998;-46.85915319999997
23.154.446/0001-76;POSTO CRUZEIRO LTDA;RODOVIA PRESIDENTE JUSCELINO KUBITSCHEK,1100,ALTO DO CORREGO,PARACATU,MG,BRAZIL;-17.22825810000001;-46.8590096
11.851.012/0001-46;COMERCIO DE COMBUSTIVEIS OUROMINAS LTDA;RUA GUARANI,166,AMOREIRAS I,PARACATU,MG,BRAZIL;-17.2152083;-46.87430630000001
86.539.590/0001-40;COM?âRCIO RODRIGUES E FARIA LTDA;RUA PEQUI,700,SANTOS DUMONT,PARA DE MINAS,MG,BRAZIL;-19.83883449999999;-44.6065647
05.835.706/0001-97;AUTO POSTO MR LTDA;AVENIDA PROFESSOR MELLO CANCADO,521,SAO JOSE,PARA DE MINAS,MG,BRAZIL;-19.86507810000001;-44.61095599999999
08.538.103/0001-11;AUTO POSTO IRMAOS MELGACO LTDA;AVENIDA PRESIDENTE VARGAS,500,DONA TUNICA,PARA DE MINAS,MG,BRAZIL;-19.866959;-44.59795149999999
