id,cnpj,endereco,estado,lat,lon,municipio,nome,cidade,bairro,cep,numero,fonte_coordenada
15233,45.694.437/0014-25,AVENIDA DR. FELIX GUISARD FILHO,SP,-23.04148,-45.5572778,,REDE DE POSTOS SETE ESTRELAS LTDA,TAUBATE,BELEM,12090-600,355,Manual
18999,05.499.482/0001-90,AVENIDA DESEMBARGADOR PAULO DE OLIVEIRA COSTA,SP,-23.03240490000002,-45.55667169999999,,REIS AUTO CENTER LTDA,TAUBATE,CENTRO,12010-230,510,MANUAL
16436,03.102.397/0001-10,AVENIDA DA INDEPENDENCIA,SP,-23.0370145,-45.57706219999999,,AUTO POSTO PEROLA INDEPENDENCIA LTDA,TAUBATE,JD. DAS NACOES,12030-000,566,MANUAL
19421,45.172.608/0001-31,AVENIDA JUCELINO K OLIVEIRA,SP,-23.0373455,-45.5597059,,AUTO POSTO PETROVAL LTDA,TAUBATE,CENTRO,12010-000,701,Manual
14916,00.256.893/0016-17,RUA GABRIEL ORTIZ MONTEIRO,SP,-23.0156109,-45.5618508,,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,TAUBATE,VILA NOGUEIRA,12060-300,560,Manual
18726,00.256.893/0032-37,RODOVIA   OSWALDO CRUZ,SP,-23.0719043,-45.5525262,,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,TAUBATE,JARDIM JULIETA,12090-700,3900,Manual
17858,29.402.611/0001-48,AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,SP,-23.021587,-45.5408879,,AUTO POSTO GTX EIRELI,TAUBATE,JARDIM MARIA AUGUSTA,12070-000,815,MANUAL
15515,19.343.992/0001-88,AVENIDA OSWALDO ARANHA,SP,-23.02656780000001,-45.5396225,,AUTO POSTO ITAIM DE TAUBATE II LTDA.,TAUBATE,TERRA NOVA,12081-800,700,MANUAL
15842,00.008.226/0001-39,AVENIDA BRIG JOSE V F LIMA,SP,-23.02182550000001,-45.5422723,,AUTO POSTO MANGUEIRA II LTDA,TAUBATE,JD ANA EMILIA,12070-000,1103,MANUAL
17032,12.194.868/0001-59,AVENIDA OSWALDO ARANHA,SP,-23.0327292,-45.5404976,,AUTO POSTO F3 LTDA,TAUBATE,TERRA NOVA,12081-800,66,Manual
16752,00.256.893/0009-98,AVENIDA DOS BANDEIRANTES,SP,-23.0434879,-45.58200540000002,,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,TAUBATE,INDEPENDENCIA,12061-590,5236,MANUAL
15080,08.219.435/0001-33,RUA FRANCISCO BARRETO LEME,SP,-23.01305030000001,-45.55032360000002,,MARECHAL TAUBATE AUTO POSTO LTDA,TAUBATE,VL SAO GERALDO,12062-000,20,MANUAL
14304,05.520.575/0002-30,1A AVENIDA AVENIDA CHARLES SCHNNEIDER 1700,SP,-23.0242543,-45.5818093,,AUTO POSTO MARECHAL MERCADO SHOPPING LTDA,TAUBATE,PARQUE SENHOR DO BONFIM,12040-900,1700,Manual
17385,45.543.915/0698-90,AVENIDA DOM PEDRO I,SP,-23.0152008,-45.5244831,,CARREFOUR COMERCIO E INDUSTRIA LTDA,TAUBATE,CAMPOS ELISEOS,12090-000,3060 L,MANUAL
16612,07.842.034/0001-72,AVENIDA MONSENHOR ANTONIO DO NASCIMENTO CASTRO,SP,-23.0167202,-45.54334239999999,,AUTO POSTO AZALEIA LTDA,TAUBATE,VILA SAO JOSE,12070-360,689,MANUAL
18854,28.348.028/0001-33,AVENIDA ITALIA,SP,-23.0252299,-45.5801119,,AUTO POSTO PEROLA ITALIA LTDA,TAUBATE,JARDIM DAS NACOES,12030-212,1490,Manual
15962,37.455.536/0001-01,AVENIDA NOVE DE JULHO,SP,-23.0234735,-45.56147210000001,,AUTO POSTO LEAO DE TAUBATE LTDA,TAUBATE,CENTRO,12020-200,42,MANUAL
19146,00.256.893/0011-02,AVENIDA CHARLES SCHNNEIDER,SP,-23.02525069999998,-45.583099,,SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,TAUBATE,VL PROGRESSO,12040-000,1775,MANUAL
17751,16.903.290/0001-13,PRACA CEL. VITORIANO,SP,-23.0203724,-45.5523919,,J. A. S. AUTO POSTO LTDA,TAUBATE,CENTRO,12020-020,110,Manual
16620,11.840.958/0001-07,RUA BRASIL,SP,-21.93213760000001,-50.53033879999997,,AUTO POSTO SÃO PAULO DE TUPÃ LTDA.,TUPA,PARQUE DAS NAÃÃES,17606-050,1900,MANUAL
14255,13.699.089/0001-78,RUA CAETES,SP,-21.93344930000001,-50.51627589999999,,CAETES - COMERCIO DE COMBUSTIVEIS LTDA,TUPA,CENTRO,17600-410,1205,MANUAL
15750,18.518.983/0001-18,RUA GUARANIS,SP,-21.9332631,-50.5144731,,AUTO POSTO GUARANIS DE TUPA II LTDA.,TUPA,CENTRO,17600-400,947,Manual
18142,01.820.806/0019-18,AVENIDA TABAJARAS,SP,-21.93924699999999,-50.519398,,REDE LK DE POSTOS LTDA,TUPA,CENTRO,17604-020,1764,MANUAL
